id,typed,image,clickable,emo_set,emo_position,emo_set_position,image_2x,width,height
21,:austrofas:,emoticons/default_austrofas.png,0,fascistballs,18,7,,0,0
22,:merchant:,emoticons/default_merchant.png,0,fascistballs,26,7,,0,0
23,:rockwell:,emoticons/default_rockwell.png,0,fascistballs,14,7,,0,0
24,:squadristi:,emoticons/default_squadristi.png,0,fascistballs,5,7,,0,0
25,:dugin:,emoticons/default_dugin.png,0,fascistballs,25,7,,0,0
26,:falangist:,emoticons/default_falangist.png,0,fascistballs,16,7,,0,0
27,:casapound:,emoticons/default_casapound.png,0,fascistballs,17,7,,0,0
28,:silver:,emoticons/default_silver.png,0,fascistballs,21,7,,0,0
29,:brazilian:,emoticons/default_brazilian.png,0,fascistballs,12,7,,0,0
30,:nazball:,emoticons/default_nazball.png,0,fascistballs,19,7,,0,0
31,:breivik:,emoticons/default_breivik.png,0,fascistballs,22,7,,0,0
32,:dawn:,emoticons/default_dawn.png,0,fascistballs,3,7,,0,0
33,:ss:,emoticons/default_ss.png,0,fascistballs,8,7,,0,0
34,:wpww:,emoticons/default_wpww.png,0,fascistballs,23,7,,0,0
35,:nazi:,emoticons/default_nazi.png,0,fascistballs,13,7,,0,0
36,:ahnenerbe:,emoticons/default_ahnenerbe.png,0,fascistballs,7,7,,0,0
37,:sa:,emoticons/default_sa.png,0,fascistballs,9,7,,0,0
38,:blackshirt:,emoticons/default_blackshirt.png,0,fascistballs,15,7,,0,0
39,:arditi:,emoticons/default_arditi.png,0,fascistballs,6,7,,0,0
40,:ironguard:,emoticons/default_ironguard.png,0,fascistballs,11,7,,0,0
41,:kkk:,emoticons/default_kkk.png,0,fascistballs,20,7,,0,0
42,:nam:,emoticons/default_nam.png,0,fascistballs,24,7,,0,0
43,:ikl:,emoticons/default_ikl.png,0,fascistballs,4,7,,0,0
44,:ironmarchy:,emoticons/default_ironmarchy.png,0,fascistballs,1,7,,0,0
92,:nameit:,emoticons/fascistballs_checkit.png,0,f700487c16e5f786381778914e725e1b,27,6,,0,0
95,:nokike:,emoticons/fascistballs_nokike.png,1,f700487c16e5f786381778914e725e1b,28,6,,0,0
98,:NA:,emoticons/fascistballs_NA.png,1,fascistballs,2,7,,0,0
101,:moonman:,emoticons/moonman.png,1,f700487c16e5f786381778914e725e1b,20,6,,0,0
104,:handy:,emoticons/handy.png,1,f700487c16e5f786381778914e725e1b,24,6,,0,0
105,:wat:,emoticons/wat.png,1,f700487c16e5f786381778914e725e1b,2,6,,0,0
106,:gibsmedat:,emoticons/gibsmedat.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,12,8,,0,0
107,:srsly:,emoticons/srsly.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,10,8,,0,0
108,:uwot:,emoticons/uwot.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,13,8,,0,0
109,:derp:,emoticons/derp.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,14,8,,0,0
110,:berg:,emoticons/berg.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,4,8,,0,0
111,:diefag:,emoticons/diefag.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,8,8,,0,0
112,:hwite:,emoticons/hwite.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,9,8,,0,0
113,:stein:,emoticons/stein.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,2,8,,0,0
114,:fagg:,emoticons/fagg.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,7,8,,0,0
115,:gold:,emoticons/gold.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,3,8,,0,0
116,:feld:,emoticons/feld.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,5,8,,0,0
117,:zombfag:,emoticons/zombfag.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,6,8,,0,0
118,:bloom:,emoticons/bloom.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,1,8,,0,0
119,:ape:,emoticons/ape.png,1,84ba4fa006a1ff548bd1a09d7bd7c791,11,8,,0,0
134,:ffs:,emoticons/ffs.png,1,f700487c16e5f786381778914e725e1b,5,6,,0,0
135,:eso:,emoticons/eso.png,1,f700487c16e5f786381778914e725e1b,16,6,,0,0
136,:deal:,emoticons/deal.png,1,f700487c16e5f786381778914e725e1b,4,6,,0,0
137,:fu:,emoticons/fu.png,1,f700487c16e5f786381778914e725e1b,22,6,,0,0
138,:gas:,emoticons/gas.png,1,f700487c16e5f786381778914e725e1b,25,6,,0,0
139,:upsetheil:,emoticons/upsetheil.png,1,f700487c16e5f786381778914e725e1b,14,6,,0,0
142,:book:,emoticons/book.png,1,f700487c16e5f786381778914e725e1b,11,6,,0,0
143,:cconsider:,emoticons/cconsider.png,1,f700487c16e5f786381778914e725e1b,8,6,,0,0
146,:lol:,emoticons/lol.png,1,f700487c16e5f786381778914e725e1b,23,6,,0,0
148,:wtf:,emoticons/wtf.png,1,f700487c16e5f786381778914e725e1b,13,6,,0,0
149,:jude:,emoticons/jude.png,1,f700487c16e5f786381778914e725e1b,26,6,,0,0
150,:ben:,emoticons/ben.png,1,f700487c16e5f786381778914e725e1b,7,6,,0,0
151,:smug:,emoticons/smug.png,1,f700487c16e5f786381778914e725e1b,3,6,,0,0
152,:anne:,emoticons/anne.png,1,f700487c16e5f786381778914e725e1b,10,6,,0,0
153,:daggers:,emoticons/daggers.png,1,f700487c16e5f786381778914e725e1b,18,6,,0,0
155,:mengele:,emoticons/mengele.png,1,f700487c16e5f786381778914e725e1b,6,6,,0,0
156,:nazirub:,emoticons/nazirub.png,1,f700487c16e5f786381778914e725e1b,9,6,,0,0
157,:nzeb:,emoticons/nzeb.gif,1,f700487c16e5f786381778914e725e1b,21,6,,0,0
158,:thasrite:,emoticons/thasrite.png,1,f700487c16e5f786381778914e725e1b,12,6,,0,0
160,:nrm:,emoticons/nrm.png,1,fascistballs,10,7,,0,0
161,:alma:,emoticons/alma.png,1,ebad4264c1c40dd74f6fd2479414fbaa,5,1,,0,0
162,:antimony:,emoticons/antimony.png,1,ebad4264c1c40dd74f6fd2479414fbaa,7,1,,0,0
163,:chess:,emoticons/chess.png,1,ebad4264c1c40dd74f6fd2479414fbaa,10,1,,0,0
164,:crest:,emoticons/crest.png,1,ebad4264c1c40dd74f6fd2479414fbaa,1,1,,0,0
165,:FD:,emoticons/FD.png,1,ebad4264c1c40dd74f6fd2479414fbaa,8,1,,0,0
166,:forge:,emoticons/forge.png,1,ebad4264c1c40dd74f6fd2479414fbaa,6,1,,0,0
167,:huntfish:,emoticons/huntfish.png,1,ebad4264c1c40dd74f6fd2479414fbaa,11,1,,0,0
168,:IMMH:,emoticons/IMMH.png,1,ebad4264c1c40dd74f6fd2479414fbaa,3,1,,0,0
169,:IMOC:,emoticons/IMOC.png,1,ebad4264c1c40dd74f6fd2479414fbaa,12,1,,0,0
170,:pride:,emoticons/pride.png,1,ebad4264c1c40dd74f6fd2479414fbaa,4,1,,0,0
171,:ropecult:,emoticons/ropecult.png,1,ebad4264c1c40dd74f6fd2479414fbaa,9,1,,0,0
172,:skellyM:,emoticons/skellyM.png,1,ebad4264c1c40dd74f6fd2479414fbaa,2,1,,0,0
173,:urbex:,emoticons/urbex.png,1,ebad4264c1c40dd74f6fd2479414fbaa,13,1,,0,0
174,:arrowcross:,emoticons/arrowcross.png,1,f539dc6131bd274ed79f714e1929da89,6,3,,0,0
175,:BUF:,emoticons/BUF.png,1,f539dc6131bd274ed79f714e1929da89,2,3,,0,0
176,:falange:,emoticons/falange.png,1,f539dc6131bd274ed79f714e1929da89,4,3,,0,0
177,:ironG:,emoticons/ironG.png,1,f539dc6131bd274ed79f714e1929da89,3,3,,0,0
178,:reich:,emoticons/reich.png,1,f539dc6131bd274ed79f714e1929da89,1,3,,0,0
179,:REXist:,emoticons/REXist.png,1,f539dc6131bd274ed79f714e1929da89,5,3,,0,0
180,:zbor:,emoticons/zbor.png,1,f539dc6131bd274ed79f714e1929da89,7,3,,0,0
181,:awd:,emoticons/awd.png,1,68ca3191b56e441c371fdb1028f06a42,5,2,,0,0
182,:azov:,emoticons/azov.png,1,68ca3191b56e441c371fdb1028f06a42,4,2,,0,0
183,:CasaP:,emoticons/CasaP.png,1,68ca3191b56e441c371fdb1028f06a42,3,2,,0,0
184,:GoldD:,emoticons/GoldD.png,1,68ca3191b56e441c371fdb1028f06a42,1,2,,0,0
185,:natact:,emoticons/natact.png,1,68ca3191b56e441c371fdb1028f06a42,6,2,,0,0
186,:NordRM:,emoticons/NordRM.png,1,68ca3191b56e441c371fdb1028f06a42,2,2,,0,0
187,:skydas:,emoticons/skydas.png,1,68ca3191b56e441c371fdb1028f06a42,7,2,,0,0
188,:arditi:,emoticons/arditi.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,13,4,,0,0
189,:deathR:,emoticons/deathR.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,5,4,,0,0
190,:fasces:,emoticons/fasces.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,14,4,,0,0
191,:happyTTNKPF:,emoticons/happyTTNKPF.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,12,4,,0,0
192,:kolovrat:,emoticons/kolovrat.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,9,4,,0,0
193,:lifeR:,emoticons/lifeR.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,4,4,,0,0
194,:ordoss:,emoticons/ordoss.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,3,4,,0,0
195,:siege:,emoticons/siege.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,10,4,,0,0
196,:sun:,emoticons/sun.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,1,4,,0,0
197,:trif:,emoticons/trif.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,8,4,,0,0
198,:Uorder:,emoticons/Uorder.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,11,4,,0,0
199,:windmill:,emoticons/windmill.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,2,4,,0,0
200,:wolfh:,emoticons/wolfh.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,6,4,,0,0
201,:wolfv:,emoticons/wolfv.png,1,b01a32b9ac8d7e06dd8cdc8ece08748d,7,4,,0,0
203,:charleyM:,emoticons/charleyM.png,1,f4d7fd352cf45fbb5314148f24562479,6,5,,0,0
204,:glr:,emoticons/glr.png,1,f4d7fd352cf45fbb5314148f24562479,4,5,,0,0
205,:PJG:,emoticons/PJG.png,1,f4d7fd352cf45fbb5314148f24562479,3,5,,0,0
206,:varg:,emoticons/varg.png,1,f4d7fd352cf45fbb5314148f24562479,5,5,,0,0
207,:nooseH:,emoticons/nooseH.png,1,f700487c16e5f786381778914e725e1b,19,6,,0,0
208,:dodge:,emoticons/dodge.png,1,f700487c16e5f786381778914e725e1b,17,6,,0,0
209,:swstkrck:,emoticons/swstkrck.png,1,f700487c16e5f786381778914e725e1b,15,6,,0,0
210,:AH88:,emoticons/AH88.png,1,f4d7fd352cf45fbb5314148f24562479,1,5,,0,0
211,:mussolini:,emoticons/mussolini.png,1,f4d7fd352cf45fbb5314148f24562479,2,5,,0,0
212,:terror:,emoticons/terror.png,1,f4d7fd352cf45fbb5314148f24562479,7,5,,0,0
214,:srshitler:,emoticons/srshitler.png,1,f700487c16e5f786381778914e725e1b,1,6,,0,0
